questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
ACTAAP_2008_5_16,16,1,C,1,1,ACTAAP,5,2008,The diagram below represents an aquatic food web. {img:images/States2017/AK/AK_Gr5_2008_3.png} What must the fish do to gain energy from the Sun? (A) feed on water plants (B) perform photosynthesis (C) eat snails and mosquito larvae (D) live in warm areas of the pond,science,Dev
LEAP__5_10328,10328,1,D,1,1,Louisiana Educational Assessment Program,5,?,Use the data table below to answer the question. {img:images/States2017/LA/LA_no_year_5thGr_1.png} Maria grew four plants in an experiment about plant growth. The table shows the design and results of Maria's experiment. What was the independent variable in this investigation? (A) the amount that each plant grew (B) the amount of food each plant received (C) the amount of water each plant received (D) the amount of sunlight each plant received,science,Dev
LEAP__5_10333,10333,1,A,1,1,Louisiana Educational Assessment Program,5,?,Which foot would most likely help a bird live in water? (A) {img:images/States2017/LA/LA_no_year_5thGr_15.png} (B) {img:images/States2017/LA/LA_no_year_5thGr_16.png} (C) {img:images/States2017/LA/LA_no_year_5thGr_17.png} (D) {img:images/States2017/LA/LA_no_year_5thGr_18.png},science,Dev
LEAP__5_10335,10335,1,C,1,1,Louisiana Educational Assessment Program,5,?,A scientist was studying a mammal population. The data table below shows some of her results. {img:images/States2017/LA/LA_no_year_5thGr_2.png} Which graph best represents the information in the table? (A) {img:images/States2017/LA/LA_no_year_5thGr_3.png} (B) {img:images/States2017/LA/LA_no_year_5thGr_4.png} (C) {img:images/States2017/LA/LA_no_year_5thGr_5.png} (D) {img:images/States2017/LA/LA_no_year_5thGr_6.png},science,Dev
MCAS_1998_4_21,21,1,A,1,1,MCAS,4,1998,{img:images/States2017/Mass/Mass_4thGr_1998_19.png} What organism most likely belongs in the circle? (A) plant (B) frog (C) rabbit (D) hawk,science,Dev
MCAS_1998_4_5,5,1,C,1,1,MCAS,4,1998,Which picture correctly shows where the shadow would be? (A) {img:images/States2017/Mass/Mass_4thGr_1998_3.png} (B) {img:images/States2017/Mass/Mass_4thGr_1998_4.png} (C) {img:images/States2017/Mass/Mass_4thGr_1998_5.png} (D) {img:images/States2017/Mass/Mass_4thGr_1998_6.png},science,Dev
MCAS_1999_4_22,22,1,C,1,1,MCAS,4,1999,{img:images/States2017/Mass/Mass_4thGr_1999_6.png} A light bulb changes electrical energy into (A) light energy only. (B) heat and mechanical energy. (C) light and heat energy. (D) light and mechanical energy.,science,Dev
MCAS_2000_4_12,12,1,D,1,1,MCAS,4,2000,Use the pictures to answer the question. Which might have happened to the glass in Picture A to cause the temperature to change as shown in Picture B? {img:images/States2017/Mass/Mass_4thGr_2000_5.png} (A) The glass was placed in the refrigerator for 10 minutes. (B) Cold water was added to the glass. (C) The glass was taken from a sunny place and put in a shady place. (D) The glass was placed in warm water.,science,Dev
MCAS_2001_5_1,1,1,A,1,1,MCAS,5,2001,Use the diagram below to answer the question. {img:images/States2017/Mass/Mass_5thGr_2001_1.png} Which part of the water cycle is represented by arrow 3? (A) evaporation (B) condensation (C) precipitation (D) groundwater,science,Dev
MCAS_2002_5_9,9,1,C,1,1,MCAS,5,2002,An engineer is trying to design a faster submarine. Which of the following animals would be most useful for the engineer to study? (A) {img:images/States2017/Mass/Mass_5thGr_2002_10.png} (B) {img:images/States2017/Mass/Mass_5thGr_2002_11.png} (C) {img:images/States2017/Mass/Mass_5thGr_2002_12.png} (D) {img:images/States2017/Mass/Mass_5thGr_2002_13.png},science,Dev
MCAS_2003_5_23,23,1,B,1,1,MCAS,5,2003,The diagram below shows a plant. {img:images/States2017/Mass/Mass_5thGr_2003_33.png} The primary purpose of structure 3 is to (A) absorb water. (B) make food. (C) protect flowers. (D) produce seeds.,science,Dev
MCAS_2003_5_25,25,1,C,1,1,MCAS,5,2003,Which set of magnets shown below will be attracted to each other? (A) {img:images/States2017/Mass/Mass_5thGr_2003_34.png} (B) {img:images/States2017/Mass/Mass_5thGr_2003_35.png} (C) {img:images/States2017/Mass/Mass_5thGr_2003_36.png} (D) {img:images/States2017/Mass/Mass_5thGr_2003_37.png},science,Dev
MCAS_2004_5_17,17,1,D,1,1,MCAS,5,2004,Which of the following objects will affect the direction that a compass needle points? (A) {img:images/States2017/Mass/Mass_5thGr_2004_12.png} (B) {img:images/States2017/Mass/Mass_5thGr_2004_13.png} (C) {img:images/States2017/Mass/Mass_5thGr_2004_14.png} (D) {img:images/States2017/Mass/Mass_5thGr_2004_15.png},science,Dev
MCAS_2004_5_29,29,1,D,1,1,MCAS,5,2004,The picture shows a ladder leaning against a wall. {img:images/States2017/Mass/Mass_5thGr_2004_25.png} A person climbing this ladder is using the ladder as (A) a lever. (B) a wedge. (C) a simple gear. (D) an inclined plane.,science,Dev
MCAS_2004_5_31,31,1,B,1,1,MCAS,5,2004,The diagram below shows a bean seed that is beginning to germinate in soil. The first structure to emerge is labeled X. {img:images/States2017/Mass/Mass_5thGr_2004_26.png} What is the function of structure X? (A) to make food (B) to absorb water (C) to produce seeds (D) to release oxygen,science,Dev
MCAS_2005_5_20,20,1,C,1,1,MCAS,5,2005,"Kendra has a mineral that she wants to identify. It is white in color, has a glassy luster, and has a hardness of 5. The table below shows some properties of selected minerals. {img:images/States2017/Mass/Mass_5thGr_2005_8.png} Based on the information in the table, Kendra's mineral is most similar to (A) calcite. (B) fluorite. (C) apatite. (D) topaz.",science,Dev
MCAS_2006_5_10,10,1,A,1,1,MCAS,5,2006,The pictures below show animals from different parts of the world. {img:images/States2017/Mass/Mass_5thGr_2006_15.png} Which of the following characteristics do all of these animals have that allows them to be classified in the same group? (A) fur (B) claws (C) big ears (D) webbed feet,science,Dev
MCAS_2006_5_16,16,1,C,1,1,MCAS,5,2006,The picture below shows a nut and a bolt. {img:images/States2017/Mass/Mass_5thGr_2006_24.png} Which of the following hand tools would most likely be used to tighten this nut and bolt? (A) a wrench and a hammer (B) a hammer and a saw (C) a wrench and a screwdriver (D) a screwdriver and a saw,science,Dev
MCAS_2006_5_30,30,1,A,1,1,MCAS,5,2006,The picture below shows the result of a geological event that changed a mountain rapidly. {img:images/States2017/Mass/Mass_5thGr_2006_45.png} Which of the following most likely caused the rapid change of the mountain? (A) landslide (B) snowfall (C) wind erosion (D) volcanic eruption,science,Dev
MCAS_2006_5_36,36,1,B,1,1,MCAS,5,2006,"The picture below shows a bird. {img:images/States2017/Mass/Mass_5thGr_2006_51.png} From the shape of its beak and the length of its legs, this bird is best adapted for feeding on which of the following? (A) insects that feed on plants (B) small fish in shallow water (C) nuts from riverside trees and plants (D) birds in ground nests",science,Dev
MCAS_2006_5_4,4,1,D,1,1,MCAS,5,2006,The picture below shows two trees and the beginning of a treehouse. {img:images/States2017/Mass/Mass_5thGr_2006_7.png} A group of friends is building a treehouse. They are using straight wooden boards to build a platform between two trees. Which of the following is the most important characteristic of the board they have put between the two trees? (A) color (B) dryness (C) hardness (D) strength,science,Dev
MCAS_2016_5_10,10,1,B,1,1,MCAS,5,2016,"A crane operator uses a crane with an electromagnet to move scrap metal over a train car, as shown below. {img:images/States2017/Mass/Mass_5thGr_2016_6.png} Which of the following statements describes what the crane operator does to drop the scrap metal into the train car? (A) The crane operator turns on a magnetic charge in the scrap metal. (B) The crane operator turns off an electric current in the electromagnet. (C) The crane operator sends out a signal that causes the train car to become an electromagnet. (D) The crane operator sends out a signal that blocks the magnetic properties of the scrap metal.",science,Dev
MEA_2013_5_5,5,1,A,1,1,MEA,5,2013-2014,"The table below shows two groups of organisms. {img:images/States2017/ME/ME_5thGr_2013-2014_7.png} How are the organisms sorted into two groups? (A) The animals in Group 1 cannot fly, and the animals in Group 2 can fly. (B) The animals in Group 1 are mammals, and the animals in Group 2 are not mammals. (C) The animals in Group 1 have feathers, and the animals in Group 2 do not have feathers. (D) The animals in Group 1 do not eat plants, and the animals in Group 2 do eat plants.",science,Dev
MEA_2014_5_10,10,1,C,1,1,MEA,5,2014-2015,"The diagram below shows a present-day elephant and an ancestor of the elephant. {img:images/States2017/ME/ME_5thGr_2014-2015_5.png} Based on the diagram, what is a major difference between the two elephants? (A) The ancestor elephant has fur. (B) The ancestor elephant has a tail. (C) The present-day elephant has larger tusks. (D) The present-day elephant has smaller feet.",science,Dev
MSA_2012_5_10,10,1,D,1,1,MSA,5,2012,"Giant Spider Web Envelops Texas Park {img:images/States2017/MD/MD_5thGr_2012_3.png} Entomologists are debating the origin and rarity of a sprawling spider web that blankets several trees, shrubs and the ground along a 200-yard stretch of trail in a North Texas park. Officials at Lake Tawakoni State Park say the massive mosquito trap is a big attraction for some visitors, while others will not go anywhere near it. ""At first, it was so white it looked like fairyland,"" said Donna Garde, superintendent of the park about 45 miles east of Dallas. ""Now it's filled with so many mosquitoes that it's turned a little brown. There are times you can literally hear the screech of millions of mosquitoes caught in those webs."" Spider experts say the web may have been constructed by social cobweb spiders, which work together, or could be the result of a mass dispersal in which the arachnids spin webs to spread out from one another. ""I've been hearing from entomologists from Ohio, Kansas, British Columbia-all over the place,"" said Mike Quinn, an invertebrate biologist with the Texas Parks and Wildlife Department who first posted photos online. Herbert A. ""Joe"" Pase, a Texas Forest Service entomologist, said the massive web is very unusual. ""From what I'm hearing it could be a once-in-a-lifetime event,"" he said. But John Jackman, a professor and extension entomologist for Texas A&M University, said he hears reports of similar webs every couple of years. ""There are a lot of folks that don't realize spiders do that,"" said Jackman, author of ""A Field Guide to the Spiders and Scorpions of Texas."" ""Until we get some samples sent to us, we really won't know what species of spider we're talking about,"" Jackman said. Garde invited the entomologists out to the park to get a firsthand look at the giant web. ""Somebody needs to come out that's an expert. I would love to see some entomology intern come out and study this,"" she said. Park rangers said they expect the web to last until fall, when the spiders will start dying off. The mosquitoes trapped in the giant spider web are used by the spiders to provide (A) air to breathe (B) color to the body (C) water for energy (D) energy for growth",science,Dev
MSA_2012_5_25,25,1,B,1,1,MSA,5,2012,"The Detroit Salt Mine Company began removing salt from the ground in 1906. This underground mine covers 6 square kilometers beneath the city of Detroit, Michigan. When the mine opened, people used the salt to preserve food, make glass, and tan leather goods. Today, people use the salt to melt ice on highways during winter storms. {img:images/States2017/MD/MD_5thGr_2012_9.png} A salt mine consists of several different rocks and minerals. Which physical property of rocks and minerals is most important when considering the support of the walls in the salt mine? (A) flexibility (B) hardness (C) ability to conduct heat (D) ability to be attracted by magnets",science,Dev
MSA_2012_5_26,26,1,A,1,1,MSA,5,2012,"The Detroit Salt Mine Company began removing salt from the ground in 1906. This underground mine covers 6 square kilometers beneath the city of Detroit, Michigan. When the mine opened, people used the salt to preserve food, make glass, and tan leather goods. Today, people use the salt to melt ice on highways during winter storms. {img:images/States2017/MD/MD_5thGr_2012_9.png} Rocks and minerals are made of matter. Which statement best describes rocks and minerals as matter? (A) Each occupies space and contains a definite amount of material. (B) Each occupies space and contains the same amount of material. (C) All occupy the same amount of space and contain a definite amount of material. (D) All occupy the same amount of space and contain the same amount of material.",science,Dev
MSA_2012_5_27,27,1,C,1,1,MSA,5,2012,"The Detroit Salt Mine Company began removing salt from the ground in 1906. This underground mine covers 6 square kilometers beneath the city of Detroit, Michigan. When the mine opened, people used the salt to preserve food, make glass, and tan leather goods. Today, people use the salt to melt ice on highways during winter storms. {img:images/States2017/MD/MD_5thGr_2012_9.png} When salt is mined, machines scrape the mine walls and change salt rocks into very tiny salt crystals. What happens to the mass of 1 kilogram of salt rocks when the rocks change into very tiny salt crystals? (A) The total mass increases. (B) The total mass decreases. (C) The total mass stays the same. (D) The total mass increases and then decreases.",science,Dev
MSA_2012_5_35,35,1,B,1,1,MSA,5,2012,A kitten is looking directly into a mirror. Which drawing best shows the image of the kitten in the mirror? (A) {img:images/States2017/MD/MD_5thGr_2012_15.png} (B) {img:images/States2017/MD/MD_5thGr_2012_16.png} (C) {img:images/States2017/MD/MD_5thGr_2012_17.png} (D) {img:images/States2017/MD/MD_5thGr_2012_18.png},science,Dev
