questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
ACTAAP_2010_7_2,2,1,A,1,1,ACTAAP,7,2010,Many houses located near beaches look like the house shown in the drawing. {img:images/States2017/AR/AR_7thGr_2010_1.png} What does this type of house indicate about the area? (A) Floods occur in the area. (B) Earthquakes occur in the area. (C) The soil is unstable in the area. (D) The soil stays frozen in the area.,science,Dev
ACTAAP_2013_7_5,5,1,C,1,1,ACTAAP,7,2013,"This diagram shows a portion of a roller coaster ride. {img:images/States2017/AR/AR_7thGr_2013_1.png} If energy losses due to friction can be ignored, which of the following statements is correct? (A) At Position Z, kinetic energy is greater than at Position X. (B) At Position Y, potential energy is greater than at Position W. (C) At Position X, potential energy is lowest and kinetic energy is greatest. (D) At Position W, potential energy is lowest and kinetic energy is greatest.",science,Dev
AMP_2016_8_11,11,1,D,1,1,AMP,8,2016,Students conducted an experiment to test how temperature changes can affect a rubber ball. They repeatedly dropped the rubber ball from the same location and recorded the height of each initial bounce. {img:images/States2017/AK/AK_8thGr_2016_5.png} Which statement best explains why the students conducted three trials? (A) Three trials were used because the students studied three different temperatures. (B) The students repeated the experiment until the ball reached a height of 48 cm. (C) The students used the first trial to practice and the last two trials to collect experimental data. (D) Performing an experiment with multiple trials can increase the accuracy of the students' results.,science,Dev
CSZ_2008_8_13,13,1,C,1,1,California Standards Test,8,2008,"The following table shows properties of four different sample materials. One of these materials is cork, a type of wood that floats in water. {img:images/States2017/CA/CA_8thGr_2008_6.png} Given that the density of water is 1 g/mL, which mL of the samples is most likely cork? (A) 1 (B) 2 (C) 3 (D) 4",science,Dev
LEAP__8_10374,10374,1,D,1,1,Louisiana Educational Assessment Program,8,?,Use the food web below to answer the question. {img:images/States2017/LA/LA_no_year_8thGr_5.png} Which of these are not represented in the food web? (A) producer (B) primary consumers (C) secondary consumers (D) decomposers,science,Dev
MCAS_2000_8_35,35,1,C,1,1,MCAS,8,2000,"Use the information and table below to answer the question. Curtis conducted an experiment to see if some liquids mix with Liquid X. His results are shown in the table. {img:images/States2017/Mass/Mass_8thGr_2000_8.png} Based on this data, which is the best conclusion? (A) Liquid X cannot mix with any other liquid. (B) Liquid X must be able to mix with some other liquid. (C) Liquid X cannot mix with these four liquids. (D) Liquid X can mix with most other liquids.",science,Dev
MCAS_2001_8_16,16,1,D,1,1,MCAS,8,2001,Use the diagram below to answer the question. {img:images/States2017/Mass/Mass_8thGr_2001_10.png} Everything that enters this cell passes through which structure? (A) structure A (B) structure B (C) structure C (D) structure D,science,Dev
MCAS_2001_8_3,3,1,D,1,1,MCAS,8,2001,Use the diagram below to answer the question. {img:images/States2017/Mass/Mass_8thGr_2001_2.png} All of the internal structures shown in the diagram together make up what level of organization? (A) a cell (B) an organ (C) a tissue (D) an organ system,science,Dev
MCAS_2002_8_1,1,1,C,1,1,MCAS,8,2002,Which of the following diagrams represents a solar eclipse? (A) {img:images/States2017/Mass/Mass_8thGr_2002_1.png} (B) {img:images/States2017/Mass/Mass_8thGr_2002_2.png} (C) {img:images/States2017/Mass/Mass_8thGr_2002_3.png} (D) {img:images/States2017/Mass/Mass_8thGr_2002_4.png},science,Dev
MCAS_2003_8_22,22,1,B,1,1,MCAS,8,2003,A carefully measured amount of soil is placed in an oven and heated to burn off the organic material. Which of the following tools is best used to measure the mass of the remaining soil? (A) {img:images/States2017/Mass/Mass_8thGr_2003_8.png} (B) {img:images/States2017/Mass/Mass_8thGr_2003_9.png} (C) {img:images/States2017/Mass/Mass_8thGr_2003_10.png} (D) {img:images/States2017/Mass/Mass_8thGr_2003_11.png},science,Dev
MCAS_2004_8_11,11,1,B,1,1,MCAS,8,2004,The graph below relates distance and time for a moving object. {img:images/States2017/Mass/Mass_8thGr_2004_4.png} What is the speed of the object represented by the graph above? (A) 0.5 m/s (B) 2 m/s (C) 10 m/s (D) 20 m/s,science,Dev
MCAS_2004_8_34,34,1,A,1,1,MCAS,8,2004,The following illustration shows a design shape. {img:images/States2017/Mass/Mass_8thGr_2004_22.png} Which of the following is an accurate orthographic projection of the design shown above? (A) {img:images/States2017/Mass/Mass_8thGr_2004_23.png} (B) {img:images/States2017/Mass/Mass_8thGr_2004_24.png} (C) {img:images/States2017/Mass/Mass_8thGr_2004_25.png} (D) {img:images/States2017/Mass/Mass_8thGr_2004_26.png},science,Dev
MCAS_2004_9_11-v1,11,1,B,1,1,MCAS,9,2004,The diagram below shows a circuit. {img:images/States2017/Mass/Mass_9thGr_technology_2004_7.png} Which of the following diagrams shows a voltmeter correctly attached to measure the voltage drop in R2? (A) {img:images/States2017/Mass/Mass_9thGr_technology_2004_8.png} (B) {img:images/States2017/Mass/Mass_9thGr_technology_2004_9.png} (C) {img:images/States2017/Mass/Mass_9thGr_technology_2004_10.png} (D) {img:images/States2017/Mass/Mass_9thGr_technology_2004_11.png},technology/engineering,Dev
MCAS_2004_9_19-v1,19,1,C,1,1,MCAS,9,2004,"The diagram below shows a pair of pliers gripping a bolt. {img:images/States2017/Mass/Mass_9thGr_technology_2004_16.png} Pliers multiply the force of a person's grip through the use of leverage. For the pliers shown, A = 10 lbs., a = 3 in., and b = 1 in. What is the gripping force, B, at the jaws of the pliers? (A) 3 lbs. (B) 10 lbs. (C) 30 lbs. (D) 60 lbs.",technology/engineering,Dev
MCAS_2004_9_9,9,1,C,1,1,MCAS,9,2004,"The diagram below shows two aluminum spheres. {img:images/States2017/Mass/Mass_9thGr_physics_2004_4.png} Aluminum sphere A contains a small negative charge and is touched by aluminum sphere B, which has a larger negative charge. Which of the following occurs next? (A) Protons flow from sphere B to sphere A. (B) Protons flow from sphere A to sphere B. (C) Electrons flow from sphere B to sphere A. (D) Electrons flow from sphere A to sphere B.",physics,Dev
MCAS_2005_8_8,8,1,B,1,1,MCAS,8,2005,The diagram below represents part of the horse fossil record from three time periods. It includes illustrations of the hooves and teeth of Horse's from each time period. {img:images/States2017/Mass/Mass_8thGr_2005_2.png} Which of the following statements is best supported by the horse fossil record? (A) The horse has been a carnivore. (B) The horse has changed over time. (C) The horse has many common ancestors. (D) The horse has lived in the same ecosystem.,science,Dev
MCAS_2005_9_12-v1,12,1,C,1,1,MCAS,9,2005,A hot air balloon exerts a force of 1200 N while lifting a load of 800 N. Which free-body force diagram depicts the forces involved? (A) {img:images/States2017/Mass/Mass_9thGr_physics_2005_13.png} (B) {img:images/States2017/Mass/Mass_9thGr_physics_2005_14.png} (C) {img:images/States2017/Mass/Mass_9thGr_physics_2005_15.png} (D) {img:images/States2017/Mass/Mass_9thGr_physics_2005_16.png},physics,Dev
MCAS_2006_8_17,17,1,A,1,1,MCAS,8,2006,"The picture below shows an iron. {img:images/States2017/Mass/Mass_8thGr_2006_13.png} When considering an iron as an example of a system, what is the input? (A) electricity (B) temperature (C) motion on clothes (D) steam from the plate",science,Dev
MCAS_2006_8_3,3,1,B,1,1,MCAS,8,2006,"The drawing below shows part of a graduated cylinder containing liquid. {img:images/States2017/Mass/Mass_8thGr_2006_1.png} Based on the sensitivity of the graduated cylinder, what is the volume of the liquid? (A) 70.5 mL (B) 73.0 mL (C) 76.7 mL (D) 87.0 mL",science,Dev
MCAS_2006_8_33,33,1,A,1,1,MCAS,8,2006,"The following diagram shows a caterpillar, mold, and a fern. {img:images/States2017/Mass/Mass_8thGr_2006_32.png} What do these organisms have in common? (A) They are made of cells. (B) They produce their own food. (C) They decompose other organisms. (D) They are disease-causing organisms.",science,Dev
